id,player,year,stint,team,타수,득점,안타,2루타,3루타,홈런,삼진,타율
88641,womacto01,2006,2,CHN,50,6,14,1,0,1,2,0.32
88643,schilcu01,2006,1,BOS,2,0,1,0,0,0,0,0.5
88650,johnsra05,2006,1,NYA,6,0,1,0,0,0,0,0.166666667
88652,finlest01,2006,1,SFN,426,66,105,21,12,6,40,0.338028169
88653,gonzalu01,2006,1,ARI,586,93,159,52,2,15,73,0.389078498
88662,seleaa01,2006,1,LAN,26,2,5,1,0,0,0,0.230769231
89177,francju01,2007,2,ATL,40,1,10,3,0,0,8,0.325
89178,francju01,2007,1,NYN,50,7,10,0,0,1,8,0.22
89330,zaungr01,2007,1,TOR,331,43,80,24,1,10,52,0.347432024
89334,williwo02,2007,1,HOU,59,3,6,0,0,1,2,0.118644068
89337,whitero02,2007,1,MIN,109,8,19,4,0,4,20,0.247706422
89339,wellsda01,2007,2,LAN,15,2,4,1,0,0,1,0.333333333
89340,wellsda01,2007,1,SDN,38,1,4,0,0,0,0,0.105263158
89343,walketo04,2007,1,OAK,48,5,13,1,0,0,4,0.291666667
89345,wakefti01,2007,1,BOS,2,0,0,0,0,0,0,0
89347,vizquom01,2007,1,SFN,513,54,126,18,3,4,51,0.294346979
89352,valenjo03,2007,1,NYN,166,18,40,11,1,3,18,0.331325301
89354,trachst01,2007,2,CHN,7,0,1,0,0,0,0,0.142857143
89360,thomeji01,2007,1,CHA,432,79,119,19,0,35,96,0.400462963
89361,thomafr04,2007,1,TOR,531,63,147,30,0,26,95,0.382297552
89363,tavarju01,2007,1,BOS,4,0,1,0,0,0,0,0.25
89365,sweenma01,2007,2,LAN,33,2,9,1,0,0,3,0.303030303
89366,sweenma01,2007,1,SFN,90,18,23,8,0,2,10,0.366666667
89367,suppaje01,2007,1,MIL,61,4,8,0,0,0,2,0.131147541
89368,stinnke01,2007,1,SLN,82,7,13,3,0,1,5,0.207317073
89371,stairma01,2007,1,TOR,357,58,103,28,1,21,64,0.428571429
89374,sosasa01,2007,1,TEX,412,53,104,24,1,21,92,0.36407767
89375,smoltjo01,2007,1,ATL,54,1,5,1,0,0,2,0.111111111
89378,sheffga01,2007,1,DET,494,107,131,20,1,25,75,0.358299595
89383,schmija01,2007,1,LAN,7,1,1,0,0,1,1,0.285714286
89384,schilcu01,2007,1,BOS,2,0,1,0,0,0,0,0.5
89385,sandere02,2007,1,KCA,73,12,23,7,0,2,11,0.438356164
89389,rodriiv01,2007,1,DET,502,50,141,31,3,11,63,0.370517928
89396,ramirma02,2007,1,BOS,483,84,143,33,1,20,88,0.407867495
89398,piazzmi01,2007,1,OAK,309,33,85,17,1,8,44,0.359223301
89400,perezne01,2007,1,DET,64,5,11,3,0,1,6,0.234375
89412,moyerja01,2007,1,PHI,73,4,9,2,0,0,2,0.150684932
89421,martipe02,2007,1,NYN,9,1,1,1,0,0,0,0.222222222
89425,maddugr01,2007,1,SDN,62,2,9,2,0,0,0,0.177419355
89426,mabryjo01,2007,1,COL,34,4,4,1,0,1,5,0.176470588
89429,loftoke01,2007,2,CLE,173,24,49,9,3,0,15,0.352601156
89430,loftoke01,2007,1,TEX,317,62,96,16,3,7,23,0.384858044
89431,loaizes01,2007,1,LAN,7,0,1,0,0,0,2,0.142857143
89438,kleskry01,2007,1,SFN,362,51,94,27,3,6,44,0.359116022
89439,kentje01,2007,1,LAN,494,78,149,36,1,20,79,0.417004049
89462,griffke02,2007,1,CIN,528,78,146,24,1,30,93,0.380681818
89463,greensh01,2007,1,NYN,446,62,130,30,1,10,46,0.383408072
89464,graffto01,2007,1,MIL,231,34,55,8,0,9,30,0.311688312
89466,gonzalu01,2007,1,LAN,464,70,129,23,2,15,68,0.364224138
89467,gomezch02,2007,2,CLE,53,4,15,2,0,0,5,0.320754717
89468,gomezch02,2007,1,BAL,169,17,51,10,1,1,16,0.372781065
89469,glavito02,2007,1,NYN,56,3,12,1,0,0,4,0.232142857
89473,floydcl01,2007,1,CHN,282,40,80,10,1,9,45,0.354609929
89474,finlest01,2007,1,COL,94,9,17,3,0,1,2,0.223404255
89481,edmonji01,2007,1,SLN,365,39,92,15,2,12,53,0.331506849
89482,easleda01,2007,1,NYN,193,24,54,6,0,10,26,0.362694301
89489,delgaca01,2007,1,NYN,538,71,139,30,0,24,87,0.358736059
89494,coninje01,2007,2,NYN,41,2,8,2,0,0,5,0.243902439
89495,coninje01,2007,1,CIN,215,23,57,11,1,6,32,0.348837209
89497,clemero02,2007,1,NYA,2,0,1,0,0,0,0,0.5
89499,claytro01,2007,1,TOR,189,23,48,14,0,1,12,0.333333333
89501,cirilje01,2007,2,ARI,40,6,8,4,0,0,6,0.3
89502,cirilje01,2007,1,MIN,153,18,40,9,2,2,21,0.346405229
89521,bondsba01,2007,1,SFN,340,75,94,14,0,28,66,0.4
89523,biggicr01,2007,1,HOU,517,68,130,31,3,10,50,0.33655706
89530,ausmubr01,2007,1,HOU,349,38,82,16,3,3,25,0.297994269
89533,aloumo01,2007,1,NYN,328,51,112,19,1,13,49,0.442073171
89534,alomasa02,2007,1,NYN,22,1,3,1,0,0,0,0.181818182
